LCCS,artificial,sol_nu_tot,bois_total,agricol_to,espace_ouv,eau_perman,layer,path
"10",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"195",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"120",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"120",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"210",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"120",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
